Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,144.7100067138672,146.8699951171875,144.08999633789062,146.5500030517578,138.90414428710938,1461700
2016-01-05,146.49000549316406,148.13999938964844,143.72000122070312,144.13999938964844,136.61990356445312,1514800
2016-01-06,143.4600067138672,144.8699951171875,142.75,143.02999877929688,135.5677490234375,1180200
2016-01-07,141.0,142.9600067138672,140.22999572753906,141.3699951171875,133.99435424804688,1779600
2016-01-08,142.0,142.1300048828125,138.5800018310547,138.74000549316406,131.50161743164062,1465400
2016-01-11,138.92999267578125,139.36000061035156,134.72999572753906,134.72999572753906,127.7008056640625,2100200
2016-01-12,135.41000366210938,139.47000122070312,135.02000427246094,139.0800018310547,131.8238983154297,1811400
2016-01-13,139.22999572753906,140.1300048828125,134.91000366210938,135.25999450683594,128.20314025878906,1671200
2016-01-14,134.9600067138672,139.1699981689453,134.9600067138672,138.72000122070312,131.48263549804688,1975300
2016-01-15,136.75,137.22000122070312,134.6199951171875,136.22999572753906,129.12254333496094,1718100
2016-01-19,136.27999877929688,141.42999267578125,136.25999450683594,139.9199981689453,132.6200408935547,1843800
2016-01-20,138.66000366210938,140.22000122070312,135.1300048828125,139.22999572753906,131.9660186767578,1908600
2016-01-21,139.3800048828125,142.6300048828125,139.1199951171875,140.1300048828125,132.819091796875,1846300
2016-01-22,137.89999389648438,141.19000244140625,136.44000244140625,137.89999389648438,130.7053985595703,2345600
2016-01-25,138.25999450683594,138.86000061035156,135.6699981689453,135.85000610351562,128.76239013671875,1664500
2016-01-26,137.10000610351562,137.4499969482422,134.3300018310547,135.4199981689453,128.3548126220703,1150800
2016-01-27,135.41000366210938,135.41000366210938,129.8800048828125,131.44000244140625,124.58246612548828,2696100
2016-01-28,132.08999633789062,133.1999969482422,129.11000061035156,129.8300018310547,123.05646514892578,1156600
2016-01-29,130.22000122070312,133.60000610351562,130.0800018310547,133.60000610351562,126.62977600097656,1664900
2016-02-01,133.33999633789062,135.2100067138672,132.55999755859375,133.22999572753906,126.27906799316406,1728600
2016-02-02,133.1999969482422,133.1999969482422,130.99000549316406,131.89999389648438,125.01844787597656,1128000
2016-02-03,132.0399932861328,133.0500030517578,130.6999969482422,132.5,125.58716583251953,2080900
2016-02-04,130.60000610351562,134.97000122070312,130.60000610351562,134.77000427246094,127.73873138427734,2151600
2016-02-05,133.66000366210938,135.11000061035156,131.6999969482422,133.0500030517578,126.10846710205078,1567200
2016-02-08,132.1199951171875,132.30999755859375,124.12000274658203,124.95999908447266,118.44053649902344,2763600
2016-02-09,124.48999786376953,129.11000061035156,123.54000091552734,128.17999267578125,121.4925537109375,1159100
2016-02-10,128.6300048828125,131.07000732421875,128.0,129.5,122.74368286132812,822000
2016-02-11,127.95999908447266,130.27999877929688,127.87999725341797,128.0,121.32193756103516,1155200
2016-02-12,128.72999572753906,130.5,127.44000244140625,130.3000030517578,123.501953125,685600
2016-02-16,131.77999877929688,134.36000061035156,130.64999389648438,134.17999267578125,127.17949676513672,851400
2016-02-17,134.66000366210938,136.27000427246094,133.00999450683594,135.85000610351562,128.76239013671875,966300
2016-02-18,135.60000610351562,137.17999267578125,135.0,135.64999389648438,128.57284545898438,1010800
2016-02-19,137.0,137.0,133.61000061035156,133.94000244140625,126.95205688476562,1094200
2016-02-22,135.33999633789062,138.11000061035156,135.3000030517578,136.36000061035156,129.2458038330078,1254900
2016-02-23,135.69000244140625,138.00999450683594,135.69000244140625,137.83999633789062,130.64857482910156,955600
2016-02-24,137.49000549316406,137.77999877929688,135.4600067138672,137.24000549316406,130.07984924316406,637400
2016-02-25,137.67999267578125,140.47999572753906,137.10000610351562,140.32000732421875,132.9991912841797,909000
2016-02-26,140.17999267578125,143.22999572753906,140.00999450683594,141.25,133.88063049316406,1132800
